4394228|residential|Jāņa Asara iela|30|N|2|2002|3059|1|2|1|/508924.17|312227.17|508925.23|312234.51|508926.75|312238.75|508929.59|312242.84|508943.51|312254.16|508967.89|312273.97|508969.13|312274.99|508983.49|312286.65|/
4394229|residential|Lienes iela|50|N|2|2002|3059|1|2|1|/509136.14|312013.69|509125.21|312022.03|509121.86|312025.13|509108.21|312037.75|509104.48|312041.31|509103.92|312041.84|509092.54|312052.67|509081.74|312062.94|509058.21|312085.33|509051.07|312092.13|509037.91|312104.42|508987.28|312152.09|508945.28|312191.53|508928.96|312208.52|508924.32|312217.28|508923.91|312221.70|508924.17|312227.17|/
4394230|residential|Krāsotāju iela|30|N|2|2002|3059|1|2|1|/508995.20|312590.48|508990.38|312585.60|508962.28|312556.21|508954.59|312548.02|508952.40|312545.72|508945.47|312538.45|508942.85|312535.70|508929.50|312521.68|508918.06|312509.66|508914.99|312506.45|508903.64|312494.54|508889.24|312479.41|508874.81|312464.26|508871.21|312460.48|/
4398383|residential|Talsu iela|30|N|2|2002|3059|1|2|1|/504078.97|310532.99|504089.14|310527.14|504168.35|310481.62|504188.25|310470.18|504265.60|310451.59|504288.04|310446.20|504299.50|310446.36|504341.33|310448.22|504369.50|310449.46|504371.18|310449.10|504376.22|310447.94|/
4398659|secondary|Cēres iela|50|N|2|2002|3059|1|2|1|/504704.39|307595.64|504696.57|307598.63|504683.14|307603.18|504678.10|307604.75|504647.27|307610.46|504600.67|307620.05|504599.87|307620.22|504564.65|307627.57|504549.60|307630.71|504530.35|307634.72|504491.97|307642.70|504487.19|307643.70|504482.48|307644.67|504463.09|307648.78|504436.24|307654.38|504431.47|307655.38|504413.94|307659.05|504383.07|307665.49|504340.94|307674.47|504324.20|307678.05|504320.31|307678.88|504314.35|307680.16|504295.49|307684.18|504281.83|307687.09|504277.86|307687.93|504276.17|307688.30|504255.72|307692.65|504215.08|307701.33|504207.04|307703.05|504193.46|307705.88|504132.62|307718.61|/
4398671|tertiary|Mazā Nometņu iela|50|N|2|2002|3059|1|2|1|/505046.59|309908.90|505029.68|309912.37|505013.98|309915.19|/
4400659|residential|Ormaņu iela|30|N|2|2002|3059|1|2|1|/503581.70|310425.29|503584.90|310434.33|503586.81|310437.14|503591.40|310438.76|503605.11|310442.93|503640.39|310453.68|/
4400663|residential|Valguma iela|50|N|2|2002|3059|1|2|1|/505469.01|311100.96|505477.98|311093.75|505508.55|311068.08|505532.36|311048.30|505567.20|311019.70|/
4413023|residential|Firsa Sadovņikova iela||N|1|2002|3059|1|2|1|/507729.10|311001.87|507733.75|311001.75|507742.11|310999.09|/
4413025|tertiary|Lauvas iela|50|N|2|2002|3059|1|2|1|/509464.06|310598.38|509460.91|310606.09|509460.43|310607.28|509458.55|310616.75|509456.85|310627.90|509456.08|310636.10|509455.00|310647.53|509454.44|310666.47|509454.22|310672.06|509454.01|310677.60|509453.52|310683.45|509449.54|310731.24|509448.29|310750.97|509446.58|310778.13|509444.72|310806.28|/
4413026|residential|Virsaišu iela||N||2002|3059|1|2|1|/509454.01|310677.60|509449.68|310677.38|509445.89|310677.18|509440.58|310676.95|509400.45|310675.22|509378.17|310674.26|509351.12|310673.10|509308.66|310671.29|509301.62|310670.98|/
4413027|tertiary|Valērijas Seiles iela|50|N|2|2002|3059|1|2|1|/509565.18|310459.34|509611.97|310397.56|509615.20|310393.50|509633.72|310370.20|509646.00|310352.72|509659.45|310335.08|509667.30|310324.59|509686.46|310299.56|509688.53|310296.86|509691.49|310292.99|509694.70|310288.81|509706.70|310273.13|509711.29|310267.13|509733.38|310238.78|509743.50|310225.78|509750.22|310217.08|509753.15|310213.27|509769.37|310192.23|509777.86|310181.40|509785.32|310172.68|509792.89|310163.84|/
4414851|residential|Lauku iela|20|Y||2002|3059|1|2|1|/509058.84|312529.18|509064.94|312535.74|509080.09|312550.50|509081.66|312554.02|509084.19|312556.58|509087.45|312559.89|509095.62|312568.13|509109.18|312581.81|509113.99|312586.67|509130.21|312603.04|509132.28|312605.12|509142.87|312615.82|509150.59|312623.63|509157.41|312630.51|509168.23|312641.38|509186.76|312660.01|509210.86|312684.48|509224.29|312695.81|509224.75|312696.28|509237.68|312709.41|509254.97|312726.95|509257.94|312729.93|509260.37|312731.57|509262.49|312732.24|509271.50|312733.93|/
4414852|residential|Sparģeļu iela|30|N||2002|3059|1|2|1|/508732.71|312313.17|508729.05|312316.49|508708.36|312335.25|508705.49|312337.85|508694.35|312347.97|508683.04|312358.22|508668.39|312371.52|508665.76|312373.90|508661.88|312377.42|508646.49|312391.38|508643.73|312393.89|508640.06|312397.21|508625.09|312410.80|508616.31|312418.89|/
4418611|trunk|Mūkusalas iela|50|Y|2|2002|3059|1|2|1|/506604.79|308750.33|506628.79|308693.28|506644.19|308657.23|506664.72|308618.00|506675.88|308598.08|506700.39|308559.20|506724.52|308527.02|506781.13|308467.64|506797.67|308449.97|506830.58|308421.08|506892.96|308367.81|506906.29|308356.41|506979.28|308294.71|507040.16|308242.84|507156.06|308142.91|507163.83|308135.24|507191.08|308107.99|507244.82|308051.86|507300.12|307996.22|507318.76|307977.98|507343.74|307953.79|507360.85|307936.79|507373.71|307924.21|507429.58|307864.68|507435.91|307857.69|/
